"Question","Answer"
"What are common reasons for bootstrap failure on central cloud controller 0 due to image pull errors?","If the setup depends on an external harbor that requires a certificate for authentication, the correct certificate might not have been added to the `localhost.yaml` file. Look for ""FAILED - RETRYING: Log in k8s, gcr, quay, docker registries if credentials exist"" in `ansible.log`. If using a jfrog repo in `localhost.yaml` for image pull during bootstrap, username and password under `defaults` of `docker_registries` should *not* be present in `localhost.yaml`."
"How can image pull errors during bootstrap be resolved when using an external harbor?","Validate the certificate for the external repository and mention it in the `localhost.yaml` file, for example: `ssl_ca_cert: /home/sysadmin/sysadmin/ca.crt`."
"What causes ""Error Populating transactions after 10 retries: failure: Packages/perf-3.10.0-1160.15.2.e17.4.tis.x86_64.rpm from anaconda: [Errorno 256] No more mirrors to try"" during Windriver installation?","This can happen if the CD/DVD was selected in boot options in BIOS on a Super Micro Server."
"How can the ""No more mirrors to try"" error during Windriver installation be resolved?","1. Select ""UEFI Hard Disk"" in boot options from BIOS. 2. Mount the ISO image and reboot the server. 3. Select ""UEFI: ATEN Virtual CDROM YSOJ"" option by pressing F11."
"What causes the server to reboot back to the installation process after a successful Windriver installation?","This happens if the BIOS option is not set correctly."
"How can the server rebooting back to the installation process after a successful Windriver installation be resolved?","1. Change the BIOS option to ""UEFI Hard disk, USB UEFI Hard disk, UEFI: ATEN Virtual CDROM YSOJ, UEFI CD/DVD"". 2. Plug out the ISO image in virtual media."
"How can the installation error ""There was already a backup- You requested a partition from 10.5GB to 10.8GB....."" be resolved?","1. Get the console. 2. Go to the shell by ""Ctrl+o"". 3. Run command: ""parted"". 4. List the partition by running: ""print"". 5. Delete all listed partitions by running: ""rm #index"". 6. Exit parted: ""quit"". 7. Retry the installation."
"When is this installation error observed?","This issue is observed when the user updates the boot mode and tries to reinstall the node."
"How can Jumbo MTU be persisted or modified for a data interface?","This procedure can be followed if the setup was brought up using an older guide. 1. Ensure Controller-1 is the standby node. If not, perform a switch-over using the GUI. 2. CLI Login to the edge's active node using the floating OAM IP. 3. Lock Controller-1 using Web-GUI or the command `system host-lock controller-1`. 4. Set `DATAOQIF=<DATA_INTERFACE>` (e.g., `enp101s0fO`), `NODE=controller-1`, `PHYSNETO='physnet@'`, `SPL=/tmp/tmp-system-port-list`, `SPIL=/tmp/tmp-system-host-if-list`. 5. Run `system host-port-list ${NODE} --nowrap > ${SPL}`. 6. Run `system host-if-list -a ${NODE} --nowrap > ${SPIL}`. 7. Get PCI address: `DATAOPCIADDR=$(cat $SPL | grep $DATAOIF | awk ‘{print ""$8}')`. 8. Get port UUID: `DATAOPORTUUID=$(cat $SPL | grep ${DATAOPCIADDR} | awk '{print ""$2}')`. 9. Get port name: `DATAOPORTNAME=$(cat $SPL | grep ${DATAOPCIADDR} | awk '{print ""$4}')`. 10. Get interface UUID: `DATAOIFUUID=$(cat $SPIL | awk -v DATAOPORTNAME=$DATAOPORTNAME '($12 ~ DATAOPORTNAME) {print ""$2}')`. 11. Modify the interface: `system host-if-modify controller-1 -n sriovO -m 9216 --vf-driver=netdevice $DATAOIFUUID`. 12. Unlock Controller-1 using GUI or the command `system host-unlock controller-1`."
"Why might PTP interface configuration not persist across reboots?","This happens if the PTP interface was not added to the StarlingX configuration. The PTP interface must be connected, and ""eno2"" is the hardcoded interface for PTP."
"How can PTP interface configurations be persisted?","1. Run `sudo ifconfig eno2 up`. 2. Verify the `eno2` link status by running `ethtool eno2`. 3. Ensure Controller-1 is the standby node. If not, perform a switch-over using the GUI. 4. CLI Login to the edge's active node using the floating OAM IP. 5. Lock Controller-1 using Web-GUI or the command `system host-lock controller-1`. 6. Set `PTP_INTERFACE_IP=<PTP_INTERFACE_IP>` (e.g., `192.190.20.232`), `PTP_INTERFACE_PREFIX=<PTP_INTERFACE_PREFIX>` (e.g., `124`), `PTP_IFC=eno2`. 7. Run `system host-if-modify -n ${PTP_IFC} -c platform controller-1 eno2 --ipv4-mode=static`. 8. Run `system host-addr-add controller-1 ${PTP_IFC} ${PTP_INTERFACE_IP} ${PTP_INTERFACE_PREFIX}`. 9. If updating the IP address, remove the old IP first using `system host-addr-list controller-1` to list IPs and `system host-addr-delete <UUID_HOST_ADD>` to delete the old IP."
"What does it mean if `/proc/cmdline` does not display `intel_pstate`?","This generally happens when the user has not set the boot mode as ""UEFI""."
"How can it be validated if the system is in UEFI mode?","Check if `/sys/firmware/efi/config_table` exists. If it doesn't, the system is likely in BIOS mode, not UEFI."
"How to set boot mode to UEFI?","1. Reboot the system and go to SETUP Mode (using DEL). 2. Go to the BOOT section. 3. Update the ""Boot mode"" to ""UEFI"". 4. Save the configuration and perform a re-install on the node."
"Why is the DNS IP address mentioned in the edge's `bootstrap.yml` file overwritten by other IPs?","This happens because DNS is a shared configuration managed by the System Controller and synchronized across all edges. Once the edge is managed, the DNS list will be overwritten by the central cloud."
"How can the DNS list on the edge be updated?","1. First, ensure the central cloud has the desired DNS list to prevent this situation. 2. Alternatively, update the edge's system configuration using the web-GUI. 3. Steps to update edge's DNS via GUI: Login to Horizon GUI and navigate to the desired edge (subclouds -> [edgeX] -> Host details). Navigate to the system configuration page (Admin -> Platform -> System Configuration in the left-hand pane). Select the DNS tab. Click ""Edit DNS"" and add or edit the IP addresses, then click Save."
"Why does the k8s cluster not come up on controller-0 after unlocking it, resulting in ""The connection to the server 192.168.206.1:6443 was refused""?","It is recommended to go ahead with the re-install of the controller node."
"Why does a host go to a failed state?","This is generally seen on configuration failure when there is a user mistake in configuring the system. If the host experiences a configuration failure, it attempts auto-recovery. If it cannot auto-recover (after a threshold is reached), it transitions to a Failed state. This is expected behavior."
"How can a host in a failed state be recovered?","Lock and unlock the node. The host status field and alarms will indicate this recovery method."
"What should be done if the ""host-lock"" operation cannot be performed from the Horizon-GUI?","Use the system CLI. 1. SSH to the edge using its OAM-floating-IP address as a sysadmin user. 2. Acquire keystone access by running `source /etc/platform/openrc`. 3. Lock the faulty host: `system host-lock <host-name>`. 4. Unlock the faulty host: `system host-unlock <host-name>`."
"How should a license be updated before its expiry?","The new license needs to be applied to each cloud-system (central or edge)."
"What are the steps to apply a new license?","1. Upload the `<License File>` to the system using its OAM_FLOATING IP. 2. Acquire keystone access: `source /etc/platform/openrc`. 3. Apply the license: `system license-install <License File>`. The expected output is ""Success: new license installed""."
"What are the consequences of updating a license after its expiry?","Manual recovery of the node may be required if the license is upgraded after expiry. It is recommended to update licenses before they expire."
"How can a node be recovered if the license is upgraded after expiry, assuming controller-0 was an active node?","1. Power-off the standby node (controller-1). 2. Upload the `<License File>` to the Active node (controller-0) using its OAM IP. 3. CLI login to controller-0 using its OAM_IP and run `sudo /usr/sbin/license-install <License File>`. 4. Wait for the Cloud Platform to auto-recover (up to 10 min). If controller-0 doesn't auto-recover, reboot it and wait for it to come up as Active. If it auto-recovers, the user should be able to acquire keystone access. 5. Acquire keystone access: `source /etc/platform/openrc`. 6. Apply the system-wide license: `system license-install <License File>`. 7. Power-on controller-1."
"Why is it necessary to update default file system sizes?","Some default system sizes are not sufficient and can cause problems in the long run. For example, core file size and current log size might not be enough, and the default docker size might be too small if there are many images."
"How can the file system size be updated in Central Cloud (CC) or Edge Cloud (EC)?","The file-system size needs to be updated for both nodes. 1. As a sysadmin user, login to the Active node using the EC/CC OAM floating IP address and acquire keystone access: `source /etc/platform/openrc`. 2. Update the file-system size for controller-0. Create an additional partition of size 260G in controller-0 and add this partition as a persistence volume under the `cgts-vg` volume group. Set `NODE=controller-0`. Run `system host-disk-partition-add -t lvm_phys_vol ${NODE} /dev/sda 260`. Partition creation may take time; run `system host-disk-partition-list ${NODE}` to ensure `/dev/sda6` status is ""Ready"" before proceeding. Run `system host-pv-add ${NODE} cgts-vg $(system host-disk-partition-list ${NODE} | grep ""/dev/sda"" | awk -F '""' '{print ""$2}')`. Ensure `system host-pv-list ${NODE}` shows `/dev/sda6` as provisioned. Increase the backup, docker, kubelet, and scratch filesystem sizes: `system host-fs-modify ${NODE} backup=50` `system host-fs-modify ${NODE} docker=60` `system host-fs-modify ${NODE} kubelet=80` `system host-fs-modify ${NODE} scratch=66` Increase log filesystem size: Login to controller-0 and run `sudo lvextend -L+50G /dev/cgts-vg/log-lv`."
